,English,Spanish
2586,come us,Venga con nosotros.
2587,come us,Venid con nosotros.
2588,come us,Veníos.
2589,come us,Véngase.
2590,cool down,Enfríalo.
2591,describe tom,Describilo a Tomás.
2592,describe tom,Descríbelo a Tomás.
2593,describe tom,Descríbalo a Tomás.
2594,tom call,¿Ha llamado Tom?
2595,tom come,¿Vino Tom?
2596,tom help,¿Tom ayudó?
2601,look ok,¿Luzco bien?
2602,look ok,¿Me veo bien?
2603,monday,Hazlo el lunes.
2608,drink,¿Bebes?
2609,drink,¿Bebéis?
2610,drink,¿Bebe usted?
2611,smoke,¿Usted fuma?
2612,smoke,¿Fumas?
2613,snore,¿Usted ronca?
2614,snore,¿Tú roncas?
2623,let go,No te sueltes.
2624,ramble,No divagues.
2625,scream,No grites.
2626,try me,No me tientes.
2627,drive faster,Conduce más rápido.
2628,drive safely,Conduzca con cuidado.
2629,drive slowly,Conduce lentamente.
2630,examine this,Examina esto.
2631,examine this,Examine esto.
2632,examine this,Examiná esto.
2633,examine this,Examinad esto.
2634,examine this,Examinen esto.
2635,fight die,Lucha o muere.
2636,find cat,Encuentra al gato.
2637,find cat,Encuentren al gato.
2638,get book,Trae el libro.
2639,get book,Consigue el libro.
2640,get book,Recoge el libro.
2641,get book,Traiga el libro.
2642,get book,Recoja el libro.
2643,get upstairs,Andá para arriba.
2644,ghost exist,Los fantasmas existen.
2645,give half,Dame la mitad.
2646,give half,Deme la mitad.
2647,give half,Denme la mitad.
2648,give half,Dadme la mitad.
2649,give that,Dame eso.
2650,give time,Dame tiempo.
2651,give time,Denme tiempo.
2652,give time,Deme tiempo.
2653,go back home,Devuélvete a la casa.
2654,go inside,Entra.
2655,go inside,Ve adentro.
2656,go school,Vete a la escuela.
2657,good you,Bien por ti.
2658,good morning,Buenos días.
2659,hang on tom,"Espera, Tom."
2660,happy easter,Feliz Pascua.
2661,happy easter,¡Feliz Pascua!
2663,donut,Toma una rosquilla.
2664,donut,Cómete una rosquilla.
2665,drink,Ten un trago.
2666,drink,Tómate algo.
2667,snack,Come botana.
2668,another,Tomá otro.
2669,another,Tomá otra.
2670,another,Toma otra.
2671,another,Toma otro.
2672,another,Tome otro.
2673,another,Tome otra.
2674,courage,Sé valiente.
2675,courage,Sed valientes.
2676,avoid me,Él me evita.
2677,cry out,Él gritó.
2678,deny it,Él lo negó.
2679,doze off,Se quedó dormido.
2680,get angry,Él se enfadó.
2684,help her,La ayuda.
2685,french,Es francés.
2686,cranky,Está enfadado.
2687,cranky,Está de morros.
2688,drive,Él está motivado.
2692,kick it,Él lo pateó.
2693,let go,Me dejó ir.
2694,let go,Dejó que me fuera.
2695,let us go,Nos dejó irnos.
2696,let us go,Dejó que nos fuéramos.
2697,like tea,Le gusta el té.
2698,like tea,A él le gusta el té.
2699,lose face,Él fue humillado.
2700,lose face,Él quedó mal.
2701,lose face,Él perdió prestigio.
2702,love her,Él la quería.
2703,love her,Él la quiere.
2704,run fast,Corre rápido.
2705,seem ill,Él se ve enfermo.
2706,alone,Él estaba solo.
2707,brave,Él era valiente.
2708,naive,Él era ingenuo.
2709,wrong,Él estaba equivocado.
2712,hes bigot,Es un fanático.
2713,hes ninja,Él es ninja.
2714,hes diet,Él está a dieta.
2715,hes pain,Está sufriendo.
2716,hes jealous,Él es celoso.
2717,hes hero,Él es mi héroe.
2718,hes now,El no está aquí ahora.
2719,hes cute,¡Él es tan lindo!
2720,hes cute,¡Él es tan bonito!
2721,help tom out,Ayuda a Tom.
2722,help tom out,Ayúdale a Tom.
2728,heres pen,Aquí tienes un bolígrafo.
2729,heres pen,"Toma, un boli."
2730,hey wait up,"¡Oye, aguarda!"
2731,annoy,¡No hay quién lo aguante!
2732,annoy,¡Qué rollo!
2733,annoy,¡Qué pesado!
2734,annoy,¡Qué incordio!
2735,annoy,¡Qué hincha pelotas!
2736,arrogant,¡Qué arrogante!
2737,horrible,¡Qué horrible!
2738,romantic,¡Qué romántico!
2739,hows school,¿Cómo te va en el colegio?
2740,hows school,¿Cómo es la escuela?
2741,hows school,¿Qué tal la escuela?
2742,admire tom,Admiro a Tom.
2743,admire you,Te admiro.
2744,chinese,Soy chino.
2745,woman,Soy una mujer.
2748,baffle,Estoy confuso.
2749,curious,Tengo curiosidad.
2750,curious,Quiero saberlo.
2751,injure,Estoy lesionado.
2752,marry,Estoy casado.
2753,marry,Estoy casada.
2756,apologize,Me disculpé.
2757,eat apples,Comí manzanas.
2758,eat apples,Yo comí manzanas.
2759,eat caviar,Comí caviar.
2760,bite lip,Me mordí el labio.
2761,call tom,Llamé a Tom.
2762,fix it,Yo puedo arreglarlo.
2763,cant cook,No sé cocinar.
2764,cant help,Yo no puedo ayudar.
2765,cant move,No me puedo mover.
2766,cant sing,No puedo cantar.
2767,cant stay,No me puedo quedar.
2768,cant stop,No puedo parar.
2769,cant swim,No sé nadar.
2770,cant talk,No puedo hablar.
2771,cant walk,No puedo caminar.
2772,could walk,Podría caminar.
2773,cut myself,Me corto.
2774,cut myself,Me corté.
2775,cut myself,Me he cortado.
2776,detest tom,Detesto a Tom.
2778,see it,Yo lo vi.
2782,want it,Sí que lo quiero.
2790,drink milk,Tomé leche.
2791,drink milk,He bebido leche.
2792,eat cheese,Yo como queso.
2793,feel alive,Me siento vivo.
2794,feel alive,Me siento viva.
2795,feel faint,Me siento débil.
2796,feel great,Me siento genial.
2797,feel happy,Yo estoy contento.
2798,feel tire,Me siento cansado.
2799,felt alone,Me sentía solo.
2800,felt woozy,Me sentí atontado.
2801,felt woozy,Me sentía aturdido.
2802,find them,Los encontré.
2803,find them,Las encontré.
2804,frame tom,Yo enmarqué a Tom.
2805,go work,Voy a trabajar.
2806,get card,Me pidieron mi identificación.
2807,get card,Me pidieron identificarme.
2808,get card,Me pidieron la documentación.
2809,get mug,Me atracaron.
2810,doubt,Yo tenía dudas.
2812,hate liars,Detesto a los mentirosos.
2813,hate opera,Odio la ópera.
2814,hate rule,Odio las reglas.
2815,hate sushi,Odio el sushi.
2823,money,Tengo dinero.
2826,hear music,Yo escucho música.
2827,help tom,Ayudé a Tom.
2828,hug her,La abracé.
2830,keep dog,Tengo un perro.
2831,like china,Me gusta China.
2832,like bean,Me gustan los frijoles.
2833,like bread,Me gusta el pan.
2834,like candy,Me gustan los dulces.
2835,like chess,Me gusta el ajedrez.
2836,like fruit,Me gusta la fruta.
2837,like honey,Me gusta la miel.
2838,like opera,Me gusta la ópera.
2839,like pizza,Me gusta la pizza.
2840,like sushi,Me gusta el sushi.
2841,like these,Me gusta eso.
2842,like women,Me gustan las mujeres.
2843,live alone,Yo vivo solo.
2844,love book,Me encantan los libros.
2845,love game,Me encantan los juegos.
2846,love trip,Me encantan los viajes.
2847,love that,Eso me gustó.
2848,love that,Eso me gustaba.
2849,love that,A mí me gustaba eso.
2850,make bet,Hice una apuesta.
2851,make these,Yo hice éstos.
2852,make these,Éstos los hice yo.
2853,mislead tom,Yo engañé a Tom.
2854,miss you,Te eché de menos.
2855,miss you,Te extrañé.
2856,need cab,Necesito un taxi.
2857,need car,Necesito un coche.
2858,need car,Necesito un auto.
2859,need hug,Necesito un abrazo.
2860,need nap,Necesito una siesta.
2861,need paint,Necesito pintura.
2862,need paint,Me falta pintura.
2863,need sleep,Necesito dormir.
2864,need space,Necesito espacio.
2865,need water,Necesito agua.
2866,need water,Yo necesito agua.
2867,need you,Te necesitaba.
2868,need you,Yo te necesité.
2869,often read,Leo frecuentemente.
2870,phone him,Lo llamé.
2871,read book,Leo libros.
2872,see book,Veo un libro.
2873,see lion,Veo un león.
2874,see star,Veo una estrella.
2875,speak fast,Hablo rápido.
2876,sympathize,Simpatizo.
2877,understand,Lo entiendo.
2878,understand,Entiendo.
2879,want dog,Quiero un perro.
2880,want lot,Quiero muchas cosas.
2881,want money,Quiero dinero.
2882,want these,Quiero éstos.
2883,want go,Quiero ir.
2884,warn tom,He avisado a Tom.
2885,afraid,Tenía miedo.
2886,frame,Fui enmarcado.
2887,hungry,Tenía hambre.
2888,lonely,Estaba solo.
2889,lonely,Yo me encontraba solo.
2890,sleepy,Tenía sueño.
2891,go twice,Fui dos veces.
2894,wonder why,Me pregunto por qué.
2895,write that,Yo escribí eso.
2896,id buy that,Yo compraría eso.
2897,ill ask tom,Le preguntaré a Tom.
2898,ill ask him,Se lo preguntaré.
2899,ill back,Volveré.
2900,ill fine,Estaré bien.
2901,ill free,Voy a estar libre.
2902,ill free,Seré libre.
2903,ill buy one,Voy a comprar uno.
2904,ill that,Haré eso.
2905,ill read it,Lo voy a leer.
2906,ill risk it,Me arriesgaré.
2907,ill see tom,Voy a ver a Tom.
2908,ill sue you,Te demandaré.
2909,im toms ex,Soy la ex de Tom.
2910,im doctor,Soy médico.
2911,im doctor,Soy doctor.
2912,im doctor,Soy médica.
2913,im farmer,Soy un granjero.
2914,im surfer,Soy surfista.
2915,im waiter,Soy camarero.
2916,im writer,Soy escritor.
2917,im ears,Soy todo oídos.
2918,im actor,Soy actor.
2919,im adult,Soy adulta.
2920,im adult,Soy adulto.
2921,im agent,Soy agente.
2922,im anorexic,Soy anoréxico.
2923,im autistic,Soy autista.
2924,im barefoot,Estoy descalzo.
2925,im confuse,Estoy confuso.
2926,im confuse,Estoy confusa.
2927,im confuse,Estoy confundido.
2928,im confuse,Estoy confundida.
2929,im divorce,Estoy divorciada.
2930,im doubtful,Estoy dubitativo.
2931,im drown,Me estoy ahogando.
2932,im educate,Tengo formación.
2933,im famish,Estoy muerto de hambre.
2934,im free now,Ahora estoy libre.
2935,im free now,Ahora soy libre.
2936,im freeze,Estoy congelado.
2937,im freeze,Estoy helado.
2938,im freeze,Me estoy helando.
2939,im grateful,Soy agradecida.
2940,im grieve,Estoy de luto.
2941,im gullible,Soy ingenuo.
2942,im hesitant,Estoy vacilante.
2943,im hurt bad,Estoy gravemente herido.
2944,im perth,Estoy en Perth.
2945,im innocent,Soy inocente.
2946,im literate,Soy culto.
2947,im new here,Soy nuevo aquí.
2948,im angel,No soy un ángel.
2949,im rebel,Yo no soy un rebelde.
2950,im rebel,Yo no soy ningún rebelde.
2951,im bald,No soy calvo.
2952,im bald,No estoy calvo.
2953,im busy,No estoy ocupado.
2954,im deaf,No estoy sordo.
2955,im dumb,No soy estúpido.
2956,im here,Yo no estoy aquí.
2957,im lazy,No soy perezoso.
2958,im poor,No soy pobre.
2959,im rich,No soy rico.
2960,im sick,No estoy enferma.
2961,im sure,No estoy seguro.
2962,im tall,No soy alto.
2963,im paint,Estoy pintando.
2964,im pregnant,Estoy embarazada.
2965,im pregnant,Estoy embarazado.
2966,im prepare,Estoy preparado.
2967,im prepare,Estoy preparada.
2968,im rational,Soy racional.
2969,im relieve,Me siento aliviado.
2970,im restless,Soy inquieto.
2971,im restless,Soy desasosegado.
2972,im restless,Soy intranquilo.
2973,im shop,Estoy comprando.
2974,im sleep,Estoy durmiendo.
2975,im alone,Estoy tan solo.
2976,im happy,Soy tan feliz.
2977,im happy,Estoy tan feliz.
2978,im sorry,Lo siento tanto.
2979,im sorry,Lo lamento tanto.
2980,im tire,¡Estoy tan cansado!
2981,im tire,¡Estoy tan cansada!
2982,im tire,Estoy muy cansado.
2983,im starve,¡Me muero de hambre!
2984,im starve,¡Me estoy muriendo de hambre!
2985,im still up,Todavía estoy levantado.
2986,im stubborn,Soy terco.
2987,im study,Estoy estudiando.
2988,im best,Soy el mejor.
2989,im think,Estoy pensando.
2990,im think,Estoy meditando.
2991,im thirteen,Tengo trece años.
2992,im thorough,Soy concienzudo.
2993,im thrill,Estoy entusiasmado.
2994,im tolerant,Soy tolerante.
2995,im fat,Estoy tan gordo.
2996,im fat,Soy muy gordo.
2997,im fat,Soy muy gorda.
2998,im fat,Estoy muy gorda.
2999,im hot,Estoy muy cachondo.
3000,im sad,Estoy muy triste.
3001,im shy,Soy muy tímido.
3002,im shy,Soy muy tímida.
3003,im him,Estoy con él.
3004,im wear out,Estoy exhausto.
3005,im wear out,Estoy reventado.
3006,ive lose it,Lo he perdido.
3007,ive see it,Lo he visto.
3008,ice solid,El hielo es sólido.
3009,iron hard,El hierro es duro.
3010,monday ok,¿Está bien el lunes?
3011,tom awake,¿Está Tom despierto?
3012,tom crazy,¿Tom está loco?
3013,tom cure,¿Está Tom curado?
3014,tom drink,¿Tom está borracho?
3015,tom die,¿Se está muriendo Tom?
3016,tom happy,¿Tom es feliz?
3017,tom lucid,¿Tom es lúcido?
3018,tom there,¿Está ahí Tom?
3024,break,¿Está roto?
3025,enough,¿Es suficiente?
3037,begin,Ha empezado.
3038,begin,Empezó.
3039,begin,Comenzó.
3042,look fun,Se ve divertido.
3043,may break,Se puede romper.
3044,may break,Puede que se rompa.
3045,black,Era negro.
3046,gross,Fue repugnante.
3047,magic,Fue mágico.
3048,night,Era de noche.
3050,go well,Salió bien.
3052,itll fun,Eso será divertido.
3053,itll fun,Será divertido.
3054,curse,Es una maldición.
3055,trick,Es una trampa.
3056,amaze,¡Eso es increíble!
3057,bedtime,Es hora de irte a la cama.
3060,morning,Es por la mañana.
3069,perfect,Está perfecto.
3072,strange,Es extraño.
3077,useless,Es inútil.
3079,ask tom,Solo pregúntale a Tom.
3081,hang on,Sólo espera.
3082,hold on,Sólo espera.
3083,say yes,Nomás di que sí.
3084,say yes,Di que sí y ya.
3085,keep dance,Seguí bailando.
3086,keep dig,Seguí cavando.
3087,keep drive,Sigue conduciendo.
3088,keep look,Sigue mirando.
3089,keep read,Siga leyendo.
3090,keep read,Sigue leyendo.
3091,keep run,Seguí corriendo.
3092,keep run,Sigue corriendo.
3093,keep run,Siga corriendo.
3094,keep run,Sigan corriendo.
3095,keep sing,Sigue cantando.
3096,keep smile,Sigue sonriendo.
3097,keep smile,Continúa sonriendo.
3098,keep smile,Sigan sonriendo.
3099,keep smile,Continuad sonriendo.
3100,keep talk,Continuá hablando.
3101,keep talk,Continúa hablando.
3102,keep talk,Continúe hablando.
3103,keep walk,Seguí caminando.
3104,keep write,Seguí escribiendo.
3105,let tom come,Deja venir a Tom.
3106,let tom stay,Deja que Tom se quede.
3107,let go it,Déjalo ir.
3108,let go me,¡Suéltame!
3109,let go me,Déjame ir.
3110,let it,Deja que lo haga.
3111,let leave,¡Déjame salir!
3112,let leave,¡Déjame irme!
3113,let speak,Dejame hablar.
3114,let think,Déjame pensar.
3115,let go eat,Vamos a comer.
3116,let go eat,Vámonos a comer.
3117,let go out,Salgamos.
3118,let listen,Escuchemos.
3119,let go,No vayamos.
3120,life go on,La vida continúa.
3121,life hard,La vida es dura.
3122,lifes short,La vida es corta.
3123,look that,¡Mira eso!
3124,look that,¡Fíjate en eso!
3125,look that,Míralo.
3126,look that,Mira eso.
3127,look this,Mira esto.
3128,look this,Fíjate en esto.
3129,look closely,Mira atentamente.
3130,look closely,Mira de cerca.
3131,look closely,Mira detenidamente.
3132,make guess,Adivina.
3133,make stop,Haz que se detenga.
3134,mary come in,Entró Mary.
3135,mary giggle,Mary soltó una risita.
3136,mary tall,María es alta.
3137,meat please,"Carne, por favor."
3138,men pig,Los hombres son cerdos.
3139,move on tom,"Continúa, Tom."
3140,move on tom,"Prosigue, Tom."
3141,move quietly,Muévete sin hacer ruido.
3142,arm hurt,Me duele el brazo.
3143,ears hurt,Me duelen las orejas.
3144,feet hurt,Me duelen los pies.
3145,hip hurt,Me duele la cadera.
3146,jaw hurt,Me duele la mandíbula.
3147,leg hurt,Me duele la pierna.
3148,one know,Nadie sabe.
3149,one move,No se movió nadie.
3150,one move,Nadie se movió.
3151,nobody ask,Nadie preguntó.
3152,nobody know,Nadie sabe.
3153,get it,Ahora lo entiendo.
3154,get it,Ahora lo cacho.
3155,leave us,Ahora déjanos.
3156,sit down,Ahora sentate.
3157,try this,Ahora probá este.
3158,oh get it,"Ah, entiendo."
3159,oh get it,"Oh, lo obtuve."
3160,open box,Abrí la caja.
3161,open box,Abra la caja.
3162,team win,Nuestro equipo ganó.
3163,please hurry,"¡Por favor, apurate!"
3164,please leave,"Por favor, márchese."
3165,please relax,Por favor cálmate.
3166,please smile,Sonríe.
3167,please smile,Sonreíd.
3168,point out,Señalalo.
3169,pull open,Ábrela.
3170,pull open,Ábrela del todo.
3171,put there,Ponedlo allí.
3172,put there,Ponlo allí.
3173,put there,Pónganlo allí.
3174,put there,Ponlo ahí.
3175,recess end,Terminó el descanso.
3176,recess end,Se acabó el recreo.
3177,run hide,Corre y escóndete.
3178,say again,Repítelo.
3179,school out,Se acabó la escuela.
3180,school out,Se terminaron las clases.
3182,see soon,¡Hasta luego!
3183,see soon,¡Hasta pronto!
3184,see soon,Te veré pronto.
3185,see then,Hasta entonces.
3186,shame you,¡Qué vergüenza!
3187,shame you,¡Avergüénzate!
3190,help us,Ella nos ayuda.
3191,happy,Ella es feliz.
3192,quiet,Ella es tranquila.
3193,quiet,Es tranquila.
3194,quiet,Está tranquila.
3195,wrong,Ella está equivocada.
3196,like it,Le gustó.
3197,love us,Ella nos quiere.
3198,may come,Puede que venga.
3199,shoot him,Le disparó.
3200,stand up,Ella se levantó.
3201,sue him,Ella le demandó.
3202,go out,Ella salió.
3203,pretty,Es guapa.
3204,stupid,No le llega agua al tanque.
3205,stupid,Es un salame.
3206,show that,Muéstrame eso.
3207,sing us,Canta con nosotros.
3208,someone come,Ha venido alguien.
3209,someone come,Alguien llegó.
3210,speak louder,Habla más fuerte.
3211,speak softly,Habla en voz baja.
3212,stay home,Quédate en casa.
3213,stay focus,Concéntrate.
3214,stay focus,No te desconcentres.
3215,stay focus,Permanece atento.
3216,stay focus,Céntrate.
3217,stay me,Quedate conmigo.
3218,stay us,Quedate con nosotros.
3219,stay us,Quédate con nosotros.
3220,step forward,Da un paso al frente.
3221,stop argue,No discutas.
3222,stop argue,Deja de discutir.
3223,stop gawk,Deja de mirar.
3224,stop push,Deja de empujar.
3225,stop read,Deja de leer.
3226,stop read,Deje de leer.
3227,stop sing,Deja de cantar.
3228,stop smoke,Deja de fumar.
3229,stop star,Deja de mirarme.
3230,stop talk,Cállate.
3231,stop car,Pará el coche.
3232,stop whine,Deja de quejarte.
3233,stop whine,Ya vale de tanto lamento.
3234,stop yell,Deja de gritar.
3235,sweet dream,¡Felices sueños!
3236,sweet dream,¡Dulces sueños!
3237,switch on,Enciéndelo.
3238,take break,Tómate un descanso.
3239,take break,Descansa.
3240,take break,Descanse.
3241,take command,Toma el control.
3242,take command,Hazte con el control.
3243,take control,Toma el control.
3244,take easy,¡Relajate!
3245,take home,Llévatelo a casa.
3246,take home,Llévatelo.
3247,take hand,Toma mi mano.
3248,take bus,Tomate el bondi.
3249,take us home,Llévanos a casa.
3250,tell more,Cuéntame más.
3251,tell more,Dime más.
3252,tell more,Dígame más.
3253,tell more,Cuénteme más.
3254,tell us more,Dinos más.
3255,tell us more,Díganos más.
3256,tell us more,Dígannos más.
3257,tell us more,Cuéntanos más.
3258,tell us more,Cuéntenos más.
3259,tell us more,Cuéntennos más.
3260,thank lot,Se lo agradezco mucho.
3261,thank lot,Muchas gracias.
3262,thank lot,Muy agradecido.
3263,thank lot,Te lo agradezco mucho.
3264,thank again,Gracias otra vez.
3265,thank again,¡Gracias nuevamente!
3283,thats toms,Eso es de Tomás.
3284,thats lie,Eso es mentira.
3285,thats lot,¡Es un montón!
3286,thats crazy,Es una locura.
3287,thats cruel,Eso es cruel.
3288,thats cd,Es mi CD.
3289,thats right,Eso es.
3290,thats right,Así es.
3291,thats weird,Es raro.
3292,thats weird,Eso es extraño.
3293,two leave,Ambos se fueron.
3295,approve,Aprueban.
3296,approve,Ellos aprueban.
3298,come in,Entraron.
3299,come in,Llegaron.
3300,come in,Ellas entraron.
3301,come in,Ellas entraban.
3302,cheer,Vitorearon.
3303,crash,Tuvieron un accidente.
3304,crash,Se chocaron.
3305,crash,Se estrellaron.
3306,escape,Se escaparon.
3307,give up,Abandonaron.
3308,give up,Se rindieron.
3309,give up,Desistieron.
3310,give up,Tiraron la toalla.
3311,hate us,Ellos nos odian.
3312,help us,Ellos nos ayudan.
3313,help us,Ellas nos ayudan.
3314,know me,Me conocían.
3315,know me,Ellos me conocen.
3316,know us,Ellos nos conocen.
3317,laugh,Rieron.
3318,love it,Les encanta.
3319,love it,Lo adoran.
3320,love me,Ellos me aman.
3321,need me,Ellos me necesitan.
3322,refuse,Se negaron.
3323,say no,Dijeron que no.
3324,saw tom,Vieron a Tom.
3325,saw you,Ellos te vieron.
3326,saw you,Te vieron.
3328,sweat,Sudaron.
3329,want me,Me quieren.
3330,want me,Me quieren a mí.
3331,want me,Ellos me quieren a mí.
3332,theyll call,Llamarán.
3333,theyll call,Ellos llamarán.
3334,theyll come,Ellos vendrán.
3335,theyll come,Vendrán.
3336,theyll know,Lo sabrán.
3337,theyll wait,Esperarán.
3338,theyll wait,Aguardarán.
3339,theyre back,Ellas están de vuelta.
3340,theyre back,Ellos están de regreso.
3341,theyre boys,Son chicos.
3342,theyre boys,Ellos son chicos.
3343,theyre boys,Son muchachos.
3344,theyre cold,Ellos tienen frío.
3345,theyre egg,Son huevos.
3346,theyre fast,Son rápidos.
3347,theyre fine,Ellos están bien.
3348,theyre fine,Están perfectamente.
3349,theyre fine,Están estupendamente.
3350,theyre go,Se fueron.
3351,theyre good,Son buenos.
3352,theyre here,Están aquí.
3353,theyre here,Aquí están.
3354,theyre here,Se encuentran aquí.
3355,theyre home,Están en casa.
3356,theyre mine,Son míos.
3357,theyre mine,Ellos son míos.
3358,theyre mine,Ellas son mías.
3359,theyre nice,Son simpáticos.
3360,theyre nice,Están bien.
3361,theyre nice,Son bonitos.
3362,theyre rich,Son ricas.
3363,theyre ugly,Son feos.
3364,theyre weak,Son débiles.
3365,theyve go,Ellos han ido.
3366,theyve go,Ellas han ido.
3367,theyve go,Se han ido.
3368,theyve go,Se han marchado.
3369,theyve leave,Se han ido.
3370,theyve leave,Han salido.
3371,things break,Las cosas se rompen.
3390,thisll help,Esto ayudará.
3391,thisll work,Esto funcionará.
3392,tom answer,Tom respondió.
3393,tom approve,Tom aprueba.
3394,tom bite mary,Tom mordió a Mary.
3395,tom bore me,Tom me aburre.
3396,tom cook,Tom puede cocinar.
3397,tom help,Tom puede ayudar.
3398,tom swim,Tom puede nadar.
3399,tom cancel,Tom canceló.
3400,tom cancel,Tom fue el que hizo la cancelación.
3401,tom enlist,Tom se enroló.
3402,tom felt sad,Tom se sintió triste.
3403,tom finish,Tom terminó.
3404,tom flinch,Tom se encogió.
3405,tom get lose,Tom se perdió.
3406,tom get shoot,A Tom le dispararon.
3407,tom get sick,Tom se enfermó.
3408,tom gut,Tom tiene agallas.
3409,tom hat me,Tom me odia.
3410,tom help us,Tom nos ayuda.
3411,tom hit mary,Tom golpeó a Mary.
3412,tom insist,Tom insistió.
3413,tom cop,Tom es poli.
3414,tom vet,Tom es un veterano.
3415,tom vet,Tom es veterinario.
3416,tom brave,Tom es valiente.
3417,tom cruel,Tom es cruel.
3418,tom die,Tom está muriendo.
3419,tom gross,Tom es asqueroso.
3420,tom happy,Tom es feliz.
3421,tom loyal,Tom es fiel.
3422,tom lie,Tom está mintiendo.
3423,tom ex,Tom es mi ex.
3424,tom naked,Tom está desnudo.
3425,tom naked,Tom anda en canicas.
3426,tom naked,Tom anda bichi.
3427,tom naked,Tom anda jiruta.
3428,tom naked,Tom anda encuerado.
3429,tom naked,Tom anda encueroles.
3430,tom nasty,Tom es repugnante.
3431,tom picky,Tomás es mañoso.
3432,tom quiet,Tomás es tranquilo.
3433,tom ready,Tom está listo.
3434,tom right,Tom tiene razón.
3435,tom short,Tom es bajo.
3436,tom timid,Tom es tímido.
3437,tom upset,Tom está disgustado.
3438,tom witty,Tomás tiene chispa.
3439,tom wrong,Tom está equivocado.
3440,tom like it,A Tom le gustó.
3441,tom like it,A Tom le gusta.
3442,tom like me,Le gusto a Tom.
3443,tom like me,Tom me quiere.
3444,tom listen,Tom escuchó.
3445,tom love me,Tom me ama.
3446,tom meet mary,Tom conoció a Mary.
3447,tom need me,Tomás me necesita.
3448,tom need us,Tom nos necesita.
3449,tom panic,Fue Tom el que entró en pánico.
3450,tom panic,Tom entró en pánico.
3451,tom promise,Tom prometió.
3452,tom promise,Tom lo prometió.
3453,tom run away,Tom huyó.
3454,tom relent,Tom cedió.
3455,tom relent,Tom se aplacó.
3456,tom relent,Tom se apiadó.
3457,tom resign,Tomás renunció.
3458,tom saw mary,Tom vio a Mary.
3459,tom scream,Tom gritó.
3460,tom shoot her,Tomás le disparó.
3461,tom shoot him,Tom le disparó.
3462,tom shrug,Tom se encogió de hombros.
3463,tom stutter,Tom tartamudea.
3464,tom stutter,Tom balbucea.
3465,tom survive,Tom sobrevivió.
3466,tom vanish,Tomás desapareció.
3467,tom bald,Tom estaba calvo.
3468,tom hurt,Tom fue herido.
3469,tom lose,Tom estaba perdido.
3470,tom mean,Tom fue ruin.
3471,tom pale,Tom estaba pálido.
3472,tom sick,Tom estaba enfermo.
3473,tom cry,Tom va a llorar.
3474,tomll speak,Tom hablará.
3475,tomll speak,Tom va a hablar.
3476,toms come,Tomás está viniendo.
3477,toms cry,Tomás está llorando.
3478,toms groggy,Tom está grogui.
3479,toms joke,Tomás está bromeando.
3480,toms stone,Tom está drogado.
3481,toms strong,Tom es fuerte.
3482,tom wake up,"Tom, despierta."
3483,trust god,Confiá en Dios.
3484,try cake,Prueba la tarta.
3485,try on,Pruébate estos.
3486,try one,Probá este.
3487,try focus,Intenta centrarte.
3488,unbelievable,¡Eso es increíble!
3489,wait see,Espera y mira.
3490,wait see,Esperad y mirad.
3491,wait see,Espere y mire.
3492,wait tom,Espera a Tom.
3493,wait tom,Espera por Tom.
3494,wait outside,Espera fuera.
3495,wake up,Despertalos.
3496,wake up tom,"Despiértate, Tom."
3497,walk me,Camina conmigo.
3498,want drink,¿Quieres una bebida?
3499,wash car,Lava el auto.
3500,apologize,Pedimos disculpas.
3501,happy,Somos felices.
3502,young,Somos jóvenes.
3504,cant sue,No podemos demandar.
3505,cant win,No podemos ganar.
3506,get ready,Nos preparamos.
3507,get ready,Estábamos listos.
3508,lunch,Almorzamos.
3514,know that,Lo sabíamos.
3515,know that,Sabíamos eso.
3516,know that,Lo conocíamos.
3517,know this,Lo sabíamos.
3518,know this,Sabíamos esto.
3519,know this,Lo conocíamos.
3520,know that,Lo sabemos.
3521,know that,Sabemos eso.
3522,know this,Lo sabemos.
3523,know this,Conocemos esto.
3524,live here,Vivimos aquí.
3525,live here,Éste es nuestro hogar.
3526,love them,Los amamos.
3527,love this,Nos encanta esto.
3528,love this,Esto nos encanta.
3529,love tom,Queríamos a Tom.
3530,meet today,Nos vimos hoy.
3531,meet today,Nos encontramos hoy.
3532,must help,Tenemos que echar una mano.
3533,must help,Tenemos que ayudar.
3534,need help,Necesitamos ayuda.
3535,need more,Necesitamos más.
3536,need this,Lo necesitamos.
3537,oversleep,Nos quedamos dormidos.
3538,oversleep,Dormimos demasiado.
3539,sit there,Nos sentamos allí.
3540,sit there,Nos sentábamos allí.
3541,sit there,Nos sentamos ahí.
3543,succeed,¡Lo conseguimos!
3544,succeed,¡Lo logramos!
3545,surrender,Nos rendimos.
3548,well go out,Saldremos.
3549,be adults,Somos adultos.
3550,be afraid,Estamos asustados.
3551,be better,Estamos mejor.
3552,be better,Somos mejores.
3553,be close,Estamos cerrados.
3554,be come,Vamos a ir.
3555,be goners,Estamos desahuciados.
3556,be hide,Nosotros estamos escondidos.
3557,be hungry,Estamos hambrientos.
3558,be joke,Estamos bromeando.
3559,be lose,Estamos perdiendo.
3560,be move,Nos estamos mudando.
3561,be move,Nos mudamos.
3562,be move,Nos vamos a mudar.
3563,be move,Nos cambiamos.
3564,be pooped,Estamos reventados.
3565,be pooped,Estamos hechos polvo.
3566,be sleepy,Tenemos sueño.
